surface_id	source_cluster	existing_source_ids	new_source_ids	visual_surface	candidate_exhibit_type	chapter_targets	story_role	allowed_caption	blocked_claims	rights_or_redraw_note	next_action
DATA-0179-001	Tokenization / BPE	S-0043;S-0153;S-0154		tiktoken repo plus BPE and SentencePiece papers	token ladder / source screenshot	1/17	Show how text becomes tokens before next-token prediction	Tokenizer sources explain subword segmentation and token IDs as mechanisms, not exact behavior for every model.	Exact tokenizer output, vocabulary size claims, language-cost comparisons, neutrality, or model-specific token accounting.	Prefer original redraw; screenshots only as private-use source texture.	Extract one tokenizer demo row with exact model/tokenizer label before any numeric caption.
DATA-0179-002	Common Crawl raw web substrate	S-0155;S-0156	S-0261	Common Crawl homepage/archive surface	source screenshot / map-like source card	17	Show web crawl data as a raw substrate before filtering	Common Crawl can be shown as an open web-crawl archive that many datasets process into training candidates.	It does not prove any closed model's corpus, legal cleanliness, consent, representativeness, or content quality.	Private-use screenshot candidate; final may use source-excerpt card with citation.	Capture homepage/archive facts and pair with filter-funnel diagram.
DATA-0179-003	C4 / cleaned Common Crawl	S-0155;S-0156		T5/C4 paper and C4 documentation paper	filter funnel / source excerpt card	17	Show cleaning, filtering, and documentation debt	C4 sources support Common Crawl-derived cleaned-corpus and documentation/provenance critique.	No claim that C4 is legally, ethically, demographically, or epistemically clean; no closed-corpus share claim.	Redraw pipeline; quote sparingly from abstracts/paper language.	Extract exact filtering/provenance figure candidates before final art.
DATA-0179-004	The Pile / mixture corpus	S-0042;S-0157		The Pile paper	mixture board / source screenshot	17/11	Show open data mixture as an explicit recipe	The Pile can visualize a documented mixture of web, books, code, academic, and other text sources.	Not representative of proprietary frontier corpora; no legality, quality, or downstream superiority claim.	Redraw mixture categories; avoid copying full tables unless page/rights reviewed.	Extract component list/page ids into a redraw shortlist.
DATA-0179-005	Dolma / OLMo data transparency	S-0158		Dolma technical report / open corpus paper	mixture board / provenance card	17	Show modern open-corpus transparency and recipe documentation	Dolma can carry an open-corpus transparency lane with source categories and curation choices.	Exact composition charts, quality superiority, downstream model performance, or closed-model comparison.	Redraw high-level recipe; use paper screenshot only privately.	Locate exact table/figure for source-category extraction.
DATA-0179-006	FineWeb	S-0159	S-0262	FineWeb dataset page and paper/web source	corpus processing card / filter funnel	17	Show web decanting and Common Crawl snapshot processing	FineWeb can be a source surface for large-scale Common Crawl processing and filtering decisions.	No universal best dataset, benchmark lift, legal cleanliness, or proprietary-corpus inference.	Hugging Face page screenshot private; paper figures require redraw/rights check.	Pair local HF capture with arXiv/paper source before final figure.
DATA-0179-007	RefinedWeb	S-0263		RefinedWeb paper	dataset comparison / filter recipe card	17	Show web-only corpus refinement and dedup/filtering as a design choice	RefinedWeb supports a visual lane where web data is filtered, deduplicated, and evaluated as a corpus design.	Outperforming claims, universal web-data sufficiency, Falcon model quality, or closed-model corpus comparison without extraction.	Redraw process/table only after page provenance.	Add to data/corpus exhibit shortlist as optional web-only contrast.
DATA-0179-008	RedPajama	S-0264		RedPajama-Data repository	source screenshot / dataset lineage card	17/10/11	Show attempted open reproduction of major LLM data recipes	RedPajama can show open data-preparation code and dataset lineage around Common Crawl and LLaMA-style recipes.	Exact LLaMA replication, model quality, adoption count, legal status, or training-data equivalence.	GitHub screenshot private; final should cite repo and redraw lineage.	Capture repo page hash in future source-download pass.
DATA-0179-009	SlimPajama	S-0265		SlimPajama Hugging Face dataset page	source screenshot / dedup card	17	Show deduplicated multi-corpus dataset packaging	SlimPajama can be a screenshot candidate for open dataset packaging and dedup framing.	No largest/best/open-source impact or model-performance claim without source extraction.	Hugging Face screenshot private; final may use source card.	Record license/metadata snapshot before any final placement.
DATA-0179-010	ROOTS / BigScience	S-0266		ROOTS corpus paper	multilingual corpus governance card	11/17	Show multilingual corpus governance and documented source assembly	ROOTS can show a curated multilingual corpus tied to BLOOM and data governance effort.	No universal multilingual quality, representativeness, legal sufficiency, or governance success claim.	Redraw governance/source categories; quote limits apply.	Extract figure/table candidates and language/source coverage rows.
