"qa_id"	"chapter"	"asset_id"	"asset_type"	"selection_rights_status"	"manifest_status"	"manifest_file_path"	"source_ids"	"missing_source_ids"	"source_title"	"source_page_or_time"	"creator_or_org"	"accessed_date"	"rights_or_private_use_note"	"blocked_claim_note"	"caption_gate"	"provenance_gate"	"next_action"
"I0217-SRC-001"	"1"	"A-0068"	"svg_diagram"	"ready_svg"	"available"	"assets/visual_system/chapter1-chatgpt-shock-chronology.svg"	"S-0006;S-0092;S-0098;S-0102"	""	"Generated Chapter 1 ChatGPT shock chronology"	"S-0006;S-0092;S-0098;S-0102"	"Codex"	"2026-05-26"	"Original lightweight SVG generated from Chapter 1 source and claim-audit rows; no external image assets; CH1SHOCK-001/004 caveats remain active."	"Original lightweight SVG generated from Chapter 1 source and claim-audit rows; no external image assets; CH1SHOCK-001/004 caveats remain active."	"claim_language_review"	"provenance_contract_ok"	"Preserve provenance row; verify source-note placement during render QA."
"I0217-SRC-002"	"1"	"A-0069"	"svg_diagram"	"ready_svg"	"available"	"assets/visual_system/chapter1-token-to-answer-schematic.svg"	"S-0004;S-0005;S-0006;S-0014;S-0043"	""	"Generated Chapter 1 token-to-answer schematic"	"S-0043;S-0004;S-0005;S-0014;S-0006"	"Codex"	"2026-05-26"	"Original lightweight SVG generated from Chapter 1 claim-audit rows; token pills are schematic, not exact tokenizer output."	"Original lightweight SVG generated from Chapter 1 claim-audit rows; token pills are schematic, not exact tokenizer output."	"caption_contract_ok"	"provenance_contract_ok"	"Preserve provenance row; verify source-note placement during render QA."
"I0217-SRC-003"	"1"	"A-0070"	"svg_diagram"	"ready_svg"	"available"	"assets/visual_system/chapter1-institutional-response-chronology.svg"	"S-0093;S-0094;S-0096;S-0097"	""	"Generated Chapter 1 institutional response chronology"	"S-0093;S-0094;S-0096;S-0097"	"Codex"	"2026-05-26"	"Original lightweight SVG generated from Chapter 1 source and claim-audit rows; no external image assets; CH1SHOCK-005 caveats remain active."	"Original lightweight SVG generated from Chapter 1 source and claim-audit rows; no external image assets; CH1SHOCK-005 caveats remain active."	"caption_contract_ok"	"provenance_contract_ok"	"Preserve provenance row; verify source-note placement during render QA."
"I0217-SRC-004"	"2"	"A-0115"	"svg_diagram"	"ready_svg"	"available"	"assets/visual_system/chapter2-pre-transformer-bottleneck-map.svg"	"S-0002;S-0104;S-0105;S-0106;S-0107"	""	"Generated Chapter 2 pre-Transformer bottleneck map"	"S-0104;S-0105;S-0106;S-0107;S-0002;C-0115;CH2Q-001"	"Codex"	"2026-05-26"	"Original lightweight SVG generated from the I-0139 plan; no external image assets; first-invention, state-of-the-art, hidden-adoption, attention-as-consciousness, and complete-history claims remain blocked."	"Original lightweight SVG generated from the I-0139 plan; no external image assets; first-invention, state-of-the-art, hidden-adoption, attention-as-consciousness, and complete-history claims remain blocked."	"caption_contract_ok"	"provenance_contract_ok"	"Preserve provenance row; verify source-note placement during render QA."
"I0217-SRC-005"	"3"	"A-0116"	"svg_diagram"	"ready_svg"	"available"	"assets/visual_system/chapter3-self-attention-information-flow.svg"	"S-0002;S-0108"	""	"Generated Chapter 3 self-attention information-flow schematic"	"S-0002;S-0108;CH2Q-002;CH2Q-003;CH2Q-004;CH2Q-005;CH2Q-006;CH2Q-011"	"Codex"	"2026-05-26"	"Original lightweight SVG generated from the I-0139 plan; no external image assets; consciousness, truth, grounding, distance-is-free, stable-head-semantics, and full-modern-LLM-implementation claims remain blocked."	"Original lightweight SVG generated from the I-0139 plan; no external image assets; consciousness, truth, grounding, distance-is-free, stable-head-semantics, and full-modern-LLM-implementation claims remain blocked."	"caption_long"	"provenance_contract_ok"	"Preserve provenance row; verify source-note placement during render QA."
"I0217-SRC-006"	"4"	"A-0117"	"svg_diagram"	"ready_svg"	"available"	"assets/visual_system/chapter4-scaling-evidence-lane-chart.svg"	"S-0003;S-0004;S-0015;S-0016"	""	"Generated Chapter 4 scaling evidence-lane chart"	"S-0003;S-0015;S-0004;S-0016;CH3Q-001;CH3Q-002;CH3Q-003;CH3Q-004;CH3Q-006;CH3Q-008"	"Codex"	"2026-05-26"	"Original lightweight SVG generated from the I-0139 plan; no external image assets; exact exponents, plotted values, universal formulas, emergence cliffs, benchmark values, revenue, product-success, and safety-from-scale claims remain blocked."	"Original lightweight SVG generated from the I-0139 plan; no external image assets; exact exponents, plotted values, universal formulas, emergence cliffs, benchmark values, revenue, product-success, and safety-from-scale claims remain blocked."	"claim_language_review"	"provenance_contract_ok"	"Preserve provenance row; verify source-note placement during render QA."
"I0217-SRC-007"	"5"	"A-0010"	"svg_diagram"	"ready_svg"	"available"	"assets/visual_system/gpt-lineage-table.svg"	""	""	"Generated GPT lineage visual table"	"n/a"	"Codex"	"2026-05-24"	"Original lightweight SVG generated for this private manuscript workspace; row data and source IDs are in data/gpt_lineage_visual_table.tsv."	"Original lightweight SVG generated for this private manuscript workspace; row data and source IDs are in data/gpt_lineage_visual_table.tsv."	"rights_or_private_use_cue_required"	"provenance_contract_ok"	"Preserve provenance row; verify source-note placement during render QA."
"I0217-SRC-008"	"6"	"A-0011"	"svg_diagram"	"ready_svg"	"available"	"assets/visual_system/rlhf-alignment-pipeline.svg"	""	""	"Generated RLHF and alignment pipeline visual"	"n/a"	"Codex"	"2026-05-25"	"Original lightweight SVG generated for this private manuscript workspace; row data and source IDs are in data/rlhf_alignment_pipeline_i0023.tsv."	"Original lightweight SVG generated for this private manuscript workspace; row data and source IDs are in data/rlhf_alignment_pipeline_i0023.tsv."	"caption_long;rights_or_private_use_cue_required"	"provenance_contract_ok"	"Preserve provenance row; verify source-note placement during render QA."
"I0217-SRC-009"	"6"	"A-0121"	"screenshot_slot"	"private_capture_needed"	"acquisition_ready"	"assets/private_use_screenshots/i0180/A-0121_chatgpt_launch_product_surface.png"	"S-0006"	""	"ChatGPT launch product source surface"	"S-0006"	"OpenAI"	"2026-05-26"	"Private-use acquisition slot only; do not commit raster; future capture must record raster sha256, source HTML hash, URL, page title, viewport, timestamp, and rights/fair-use review."	"Private-use acquisition slot only; do not commit raster; future capture must record raster sha256, source HTML hash, URL, page title, viewport, timestamp, and rights/fair-use review."	"claim_language_review;rights_or_private_use_cue_required"	"provenance_contract_ok"	"Preserve provenance row; verify source-note placement during render QA."
"I0217-SRC-010"	"6"	"A-0122"	"screenshot_slot"	"private_capture_needed"	"acquisition_ready"	"assets/private_use_screenshots/i0180/A-0122_chatgpt_plus_product_surface.png"	"S-0078;S-0089"	""	"ChatGPT Plus announcement source surface"	"S-0078;S-0089"	"OpenAI"	"2026-05-26"	"Private-use acquisition slot only; do not commit raster; future capture must record raster sha256, source HTML hash, URL, page title, viewport, timestamp, and rights/fair-use review."	"Private-use acquisition slot only; do not commit raster; future capture must record raster sha256, source HTML hash, URL, page title, viewport, timestamp, and rights/fair-use review."	"claim_language_review;rights_or_private_use_cue_required"	"provenance_contract_ok"	"Preserve provenance row; verify source-note placement during render QA."
