page_num	chapter	sample_type	issue_type	detail
60	Ch5		process_language	['ledger']
66	Ch5		forbidden_strings	['workflow']
66	Ch5		process_language	['workflow']
76	Ch5		sparse_page	79
84	Ch5		sparse_page	61
126	Ch6		sparse_page	11
149	Ch8		sparse_page	35
156	Ch8		sparse_page	61
162	Ch8		forbidden_strings	['workflow']
162	Ch8		process_language	['workflow']
170	Ch9		sparse_page	49
178	Ch9		sparse_page	38
185	Ch9		sparse_page	68
203	Ch9		sparse_page	28
204	Ch10		sparse_page	36
217	Ch10		sparse_page	18
265	Ch20		sparse_page	40
265	Ch20		no_visual_sparse	
306	Ch21		sparse_page	27
334	Ch21		sparse_page	32
355	Ch21		light_page	293
274	Ch21		process_language	['scoreboard']
379	Ch21		sparse_page	68
483	Ch21		sparse_page	19
589	Ch22		sparse_page	22
606	Ch22		forbidden_strings	['workflow']
606	Ch22		process_language	['workflow']
640	Ch22		light_page	110
640	Ch22		no_visual_sparse	
4	Ch?		sparse_page	44
58	Ch?		sparse_page	84
123	Ch6		sparse_page	38
173	Ch9		sparse_page	41
206	Ch10		sparse_page	42
226	Ch10		sparse_page	35
282	Ch21		sparse_page	5
325	Ch21		light_page	221
350	Ch21		sparse_page	5
385	Ch21		light_page	172
423	Ch21		sparse_page	19
464	Ch21		sparse_page	24
507	Ch21		sparse_page	76
541	Ch21		sparse_page	10
103	Ch6		sparse_page	34
638	Ch22		forbidden_strings	['workflow']
638	Ch22		process_language	['workflow']
639	Ch22		process_language	['ledger']
