pass_id	expanded_id	source	asset_id	asset_type	target_categories	file_path	file_exists	sha256	render_file_path	render_sha256	title	caption	story_purpose	source_url_or_path	rights_or_private_use_note	blocked_claims	render_role
I-0295	F01.01	base_selected_manifest	A-0287-013	real_world_source_image	real_photo_screenshot_source_image	assets/private_use_screenshots/i0287_source_pages/src-0287-013-openai-platform.png	yes	f99f8ed3dcb58a7aaa7068073ccd9142f6daec0de7255e9e2aae3179ae9f4605	assets/private_use_screenshots/i0287_source_pages/src-0287-013-openai-platform.png	f99f8ed3dcb58a7aaa7068073ccd9142f6daec0de7255e9e2aae3179ae9f4605	Figure 01.01 - OpenAI Platform Became A Public Product Surface	OpenAI Platform public-web screenshot used as private-edition product texture for the ChatGPT shock opening; it proves only a captured product surface, not usage, revenue, model quality, or current availability.	I-0290 local file, hash, callout, and manifest proof only; I-0293 render QA and final rights review still required.	Private-use visual acquired in 0287; page https://platform.openai.com/; asset https://platform.openai.com/; local assets/private_use_screenshots/i0287_source_pages/src-0287-013-openai-platform.png; sha256 f99f8ed3dcb58a7aaa7068073ccd9142f6daec0de7255e9e2aae3179ae9f4605.	private_use_visual_pending_final_rights_review	Screenshot surface only; does not prove current product state, adoption, performance, revenue, safety, benchmark rank, or deployment outcome.	main_text_selected_callout
I-0295	F01.02	base_selected_manifest	A-0069	svg_diagram	curated_chart_data_svg_visualization	assets/visual_system/chapter1-token-to-answer-schematic.svg	yes	42869792f0aad42b83e786d969c81ab5081fdddc94f6689180f727d59618bf58	assets/visual_system/chapter1-token-to-answer-schematic.svg	42869792f0aad42b83e786d969c81ab5081fdddc94f6689180f727d59618bf58	Figure 1.2 - From Prompt to Answer, One Token at a Time. Human text becomes tokens, context, next-token predictions, and generated answer.	Figure 1.2 - From Prompt to Answer, One Token at a Time. Human text becomes tokens, context, next-token predictions, and generated answer.	I-0261 source-file proof exists; I-0262 render embedding and I-0263 page-legibility QA still required.	Source IDs: S-0043;S-0004;S-0005;S-0014;S-0006; Asset source: Generated Chapter 1 token-to-answer schematic; Creator/org: Codex	publish_after_render_caption_source_note_qa	Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.	main_text_selected_callout
I-0295	F01.03	base_selected_manifest	A-0070	svg_diagram	curated_chart_data_svg_visualization	assets/visual_system/chapter1-institutional-response-chronology.svg	yes	d25bb456366d388337b81c5f0c690bd5fcb1978778eed89f67b3e4e07dff7c09	assets/visual_system/chapter1-institutional-response-chronology.svg	d25bb456366d388337b81c5f0c690bd5fcb1978778eed89f67b3e4e07dff7c09	Figure 1.3 - Local Alarms: First Institutional Response Chronology. Stack Overflow, NYC schools, Seattle schools, and JPMorgan become named local-control examples.	Figure 1.3 - Local Alarms: First Institutional Response Chronology. Stack Overflow, NYC schools, Seattle schools, and JPMorgan become named local-control examples.	I-0261 source-file proof exists; I-0262 render embedding and I-0263 page-legibility QA still required.	Source IDs: S-0093;S-0094;S-0096;S-0097; Asset source: Generated Chapter 1 institutional response chronology; Creator/org: Codex	publish_after_render_caption_source_note_qa	Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.	main_text_selected_callout
I-0295	F02.01	base_selected_manifest	A-0285-001	source_surface_paper_report_excerpt	paper_report_excerpt	assets/source_surfaces/i0285/paper-0285-001-attention-is-all-you-need-p1.png	yes	ca6d785b054b4e8679f74de194bc2a47b7c44100a782b72df73e6ed3d9e765e9	assets/source_surfaces/i0285/paper-0285-001-attention-is-all-you-need-p1.png	ca6d785b054b4e8679f74de194bc2a47b7c44100a782b72df73e6ed3d9e765e9	Figure 02.01 - Transformer Paper Page As The Breakthrough Surface	Attention Is All You Need page-one render anchors the Transformer breakthrough as a primary source surface; it does not prove intention, later implementation details, modern product behavior, or claims beyond the cited paper.	I-0291 page-render, source-document, card, hash, callout, and manifest proof only; I-0293 render QA and final rights/source-note review still required.	Private-use source surface PAPER-0285-001 from https://arxiv.org/pdf/1706.03762; source file assets/source_media/i0285_pdfs/attention-is-all-you-need.pdf sha256 bdfaa68d8984f0dc02beaca527b76f207d99b666d31d1da728ee0728182df697; page 1 render assets/source_surfaces/i0285/paper-0285-001-attention-is-all-you-need-p1.png sha256 ca6d785b054b4e8679f74de194bc2a47b7c44100a782b72df73e6ed3d9e765e9; fallback/card assets/papers/i0285_cards/paper-0285-001-attention-is-all-you-need.svg sha256 eb7b0e8375540bce9526d5270bf23408279835eb8a07165b23c4b08e4401e284.	private_use_source_surface_pending_final_rights_review	Does not prove modern implementation details, intention, truth, or later LLM behavior.	main_text_selected_callout
I-0295	F03.01	base_selected_manifest	A-0288-001	source_surface_paper_report_excerpt	paper_report_excerpt	assets/source_surfaces/i0288/paper-0288-001-bert-pre-training-of-deep-bidirectional-transformers-p1.png	yes	076d674b09d4f213666f986048a6a6d293cf1b7c72ef6952d85cfa4dfe203f9e	assets/source_surfaces/i0288/paper-0288-001-bert-pre-training-of-deep-bidirectional-transformers-p1.png	076d674b09d4f213666f986048a6a6d293cf1b7c72ef6952d85cfa4dfe203f9e	Figure 03.01 - BERT Page As Bidirectional Transformer Lineage	BERT page-one render supplies masked-language-model lineage texture for the attention chapter; it does not make BERT a generative chatbot or prove later LLM behavior.	I-0291 page-render, source-document, card, hash, callout, and manifest proof only; I-0293 render QA and final rights/source-note review still required.	Private-use source surface PAPER-0288-001 from https://arxiv.org/pdf/1810.04805; source file assets/source_media/i0288_pdfs/bert-pre-training-of-deep-bidirectional-transformers.pdf sha256 5692a5514787a8c6727b4ff3b726a3385798bc68e12138d1d4af83947e2acf6e; page 1 render assets/source_surfaces/i0288/paper-0288-001-bert-pre-training-of-deep-bidirectional-transformers-p1.png sha256 076d674b09d4f213666f986048a6a6d293cf1b7c72ef6952d85cfa4dfe203f9e; fallback/card assets/papers/i0288_cards/paper-0288-001-bert-pre-training-of-deep-bidirectional-transformers.svg sha256 7f62213618200373a007f77ef999e5bd24b5f13879e0f61391752d4e6874fd52.	private_use_source_surface_pending_final_rights_review	Does not make BERT a generative chatbot or prove later LLM behavior.	main_text_selected_callout
I-0295	F04.01	base_selected_manifest	A-0285-005	source_surface_paper_report_excerpt	paper_report_excerpt	assets/source_surfaces/i0285/paper-0285-005-scaling-laws-for-neural-language-models-p1.png	yes	74dffb3bfa598109c5bc13783a2e34b687f6d9f2c1267ebb63dd49e01eb2c2ed	assets/source_surfaces/i0285/paper-0285-005-scaling-laws-for-neural-language-models-p1.png	74dffb3bfa598109c5bc13783a2e34b687f6d9f2c1267ebb63dd49e01eb2c2ed	Figure 04.01 - Scaling Laws Page As Loss-Compute Evidence	Scaling Laws for Neural Language Models page-one render grounds the scaling chapter in measured loss, model, data, and compute tradeoffs; it does not prove truth, safety, emergence thresholds, or business value.	I-0291 page-render, source-document, card, hash, callout, and manifest proof only; I-0293 render QA and final rights/source-note review still required.	Private-use source surface PAPER-0285-005 from https://arxiv.org/pdf/2001.08361; source file assets/source_media/i0285_pdfs/scaling-laws-for-neural-language-models.pdf sha256 a41bd7877fd1a6bcbba096b2619618bd2f90e02488f2365644903eb2f7c6a494; page 1 render assets/source_surfaces/i0285/paper-0285-005-scaling-laws-for-neural-language-models-p1.png sha256 74dffb3bfa598109c5bc13783a2e34b687f6d9f2c1267ebb63dd49e01eb2c2ed; fallback/card assets/papers/i0285_cards/paper-0285-005-scaling-laws-for-neural-language-models.svg sha256 042c901c8547647a55f73408ff5803b68592b7895a240efd900d9158e31afa5d.	private_use_source_surface_pending_final_rights_review	Does not prove automatic truth, safety, emergence thresholds, or business value.	main_text_selected_callout
I-0295	F05.01	base_selected_manifest	A-0285-002	source_surface_paper_report_excerpt	paper_report_excerpt	assets/source_surfaces/i0285/paper-0285-002-improving-language-understanding-by-generative-pre-training-p1.png	yes	910a795503814950b19cb7910d50be44e77434c4bbb36682c30d77060ead4a39	assets/source_surfaces/i0285/paper-0285-002-improving-language-understanding-by-generative-pre-training-p1.png	910a795503814950b19cb7910d50be44e77434c4bbb36682c30d77060ead4a39	Figure 05.01 - GPT-1 Paper Page As Pretraining Origin	Improving Language Understanding by Generative Pre-Training page-one render anchors GPT-1 as a transfer/pretraining source surface; it does not prove ChatGPT, GPT-3, or broad product capability.	I-0291 page-render, source-document, card, hash, callout, and manifest proof only; I-0293 render QA and final rights/source-note review still required.	Private-use source surface PAPER-0285-002 from https://cdn.openai.com/research-covers/language-unsupervised/language_understanding_paper.pdf; source file assets/source_media/i0285_pdfs/improving-language-understanding-by-generative-pre-training.pdf sha256 eb81a65e0856bd38e855e1f1de6ee12e7c3eb92ae05c8270d345a475beb631d0; page 1 render assets/source_surfaces/i0285/paper-0285-002-improving-language-understanding-by-generative-pre-training-p1.png sha256 910a795503814950b19cb7910d50be44e77434c4bbb36682c30d77060ead4a39; fallback/card assets/papers/i0285_cards/paper-0285-002-improving-language-understanding-by-generative-pre-training.svg sha256 03404b3d3f3769037bce4e1100f8bcc74aa71e87b6bf1bdb9977c6c2b9451fbd.	private_use_source_surface_pending_final_rights_review	Does not prove ChatGPT, GPT-3, or broad product capability.	main_text_selected_callout
I-0295	F06.01	base_selected_manifest	A-0287-014	real_world_source_image	real_photo_screenshot_source_image	assets/private_use_screenshots/i0287_source_pages/src-0287-014-anthropic-console.png	yes	21c83e98d24c0efbdf9d165b504e37c040cfa0b5268973f755b3a96cbacf0658	assets/private_use_screenshots/i0287_source_pages/src-0287-014-anthropic-console.png	21c83e98d24c0efbdf9d165b504e37c040cfa0b5268973f755b3a96cbacf0658	Figure 06.01 - Anthropic Console Product Surface	Anthropic Console public-web screenshot grounds the alignment-as-product discussion in a visible developer surface; it does not prove safety, model quality, adoption, uptime, or enterprise outcomes.	I-0290 local file, hash, callout, and manifest proof only; I-0293 render QA and final rights review still required.	Private-use visual acquired in 0287; page https://console.anthropic.com/; asset https://console.anthropic.com/; local assets/private_use_screenshots/i0287_source_pages/src-0287-014-anthropic-console.png; sha256 21c83e98d24c0efbdf9d165b504e37c040cfa0b5268973f755b3a96cbacf0658.	private_use_visual_pending_final_rights_review	Screenshot surface only; does not prove current product state, adoption, performance, revenue, safety, benchmark rank, or deployment outcome.	main_text_selected_callout
I-0295	F06.02	base_selected_manifest	A-0284-006	real_world_source_image	real_photo_screenshot_source_image	assets/private_use_photos/i0284_source_images/openai-openai-api.png	yes	f35457a01dadf2de9eb00ef06937c0c73feb060c75017f43d3c60c6741bed3ee	assets/private_use_photos/i0284_source_images/openai-openai-api.png	f35457a01dadf2de9eb00ef06937c0c73feb060c75017f43d3c60c6741bed3ee	Figure 06.02 - OpenAI API As Behavior Interface	OpenAI API source image anchors the chapter's behavior-as-interface discussion as private-edition product texture; it does not prove pricing, traffic, reliability, or model capability.	I-0290 local file, hash, callout, and manifest proof only; I-0293 render QA and final rights review still required.	Private-use visual acquired in 0284; page https://openai.com/api/; asset https://images.ctfassets.net/kftzwdyauwt9/2QkEfHzYEJhFvNWAkNolg5/264f9db2d3020b1ff65c12aa9c6632e0/API_Refresh_Art_Card_1920x108.png?w=1600&h=900&fit=fill; local assets/private_use_photos/i0284_source_images/openai-openai-api.png; sha256 f35457a01dadf2de9eb00ef06937c0c73feb060c75017f43d3c60c6741bed3ee.	private_use_visual_pending_final_rights_review	Visual texture only; does not prove current product state, adoption, performance, revenue, safety, or benchmark rank.	main_text_selected_callout
I-0295	F06.03	base_selected_manifest	A-0284-057	real_world_person_image	person_image	assets/people/i0284/dario-amodei-profile-page.png	yes	097023cf299370d8469d6c6cc32f684e4b26c482e6c752a3680e24307f10b9f5	assets/people/i0284/dario-amodei-profile-page.png	097023cf299370d8469d6c6cc32f684e4b26c482e6c752a3680e24307f10b9f5	Figure 06.03 - Dario Amodei Public Profile Texture	Public-profile image of Dario Amodei adds a human organizational anchor near the Constitutional AI and assistant-behavior discussion; it does not prove alignment claims, governance outcomes, or biographical details beyond the ledger label.	I-0290 local file, hash, callout, and manifest proof only; I-0293 render QA and final rights review still required.	Private-use visual acquired in 0284; page https://en.wikipedia.org/wiki/Dario_Amodei; asset https://en.wikipedia.org/wiki/Dario_Amodei; local assets/people/i0284/dario-amodei-profile-page.png; sha256 097023cf299370d8469d6c6cc32f684e4b26c482e6c752a3680e24307f10b9f5.	private_use_visual_pending_final_rights_review	Public-profile page screenshot only; does not support biography claims beyond separately sourced text, current title, motives, or private scenes.	main_text_selected_callout
