pass_id	board_index	id	title	image_count	text_sample
I-0319	1	visual-board-lp-people-02	Transformer, Scaling, And Evaluation Line	6	person Transformer, Scaling, And Evaluation Line Architecture and evaluation figures give attention, MoE, systems, and reasoning sections human handles Caption: Transformer, Scaling, And Evaluation Line. Architecture and evaluation figures 
I-0319	2	visual-board-atlas-01	Language Model Foundations	10	Language Model Foundations Tokens, attention, GPT lineage, scaling, and early benchmark context Caption: Language Model Foundations. Tokens, attention, GPT lineage, scaling, and early benchmark context Figure 1.2 - From Prompt to Answer, On
I-0319	3	visual-board-lp-logo-04	Research And Data-Science Substrate	10	Research And Data-Science Substrate The scientific Python and notebook strip makes the pre-LLM toolchain visible without turning it into a separate history Caption: Research And Data-Science Substrate. The scientific Python and notebook str
I-0319	4	visual-board-lp-people-01	Deep-Learning And NLP Lineage	6	person Deep-Learning And NLP Lineage The opening lineage strip anchors the book in researchers who made neural language work feel historically continuous Caption: Deep-Learning And NLP Lineage. The opening lineage strip anchors the book in 
I-0319	5	visual-board-ss-paper-01	Transformer, GPT, And Scaling Origins	5	paper report excerpt Transformer, GPT, And Scaling Origins The origin gallery shows the breakthrough papers as artifacts the reader can locate, not as invisible bibliography Caption: Transformer, GPT, And Scaling Origins. The origin gallery
I-0319	6	visual-board-ss-paper-04	Pretraining Lineage And Compute-Optimal Scale	5	paper report excerpt Pretraining Lineage And Compute-Optimal Scale BERT, T5, Chinchilla, PaLM, and chain-of-thought establish the mechanism bridge into frontier LLMs Caption: Pretraining Lineage And Compute-Optimal Scale. BERT, T5, Chinchil
I-0319	7	visual-board-ss-paper-02	Alignment, Open Weights, And Model Families	5	paper report excerpt Alignment, Open Weights, And Model Families Training language models to follow instructions paper/report excerpt Shows instruction tuning and preference learning entering assistant behavior Constitutional AI paper/repor
I-0319	8	visual-board-ss-pdf-03	System Cards And GPT-4 Report Surfaces	5	pdf deck report page System Cards And GPT-4 Report Surfaces System-card and GPT-4 report pages anchor safety/product disclosure without overclaiming capability or risk Caption: System Cards And GPT-4 Report Surfaces. System-card and GPT-4 r
I-0319	9	visual-board-lp-people-03	OpenAI Product And RLHF Line	7	person OpenAI Product And RLHF Line OpenAI's product, research, and RLHF figures tie the ChatGPT sequence to public organizational surfaces Caption: OpenAI Product And RLHF Line. OpenAI's product, research, and RLHF figures tie the ChatGPT 
I-0319	10	visual-board-atlas-02	Assistant Product Grammar	10	Assistant Product Grammar Instruction tuning, product surfaces, enterprise blockers, and behavior boundaries Caption: Assistant Product Grammar. Instruction tuning, product surfaces, enterprise blockers, and behavior boundaries Figure 7.x -
