"pass_id"	"chapter"	"current_primary_file"	"supplemental_source_file"	"filename_issue"	"proposed_canonical_filename"	"action"	"blocker"
"I-0238"	"CH02"	"manuscript/01-before-the-transformer.md"	""	"legacy_number_prefix"	"manuscript/02-before-the-transformer.md"	"resolve_by_canonical_map_now; defer_physical_rename_until_reference_migration"	"historical source, claim, and asset ledgers cite current paths"
"I-0238"	"CH03"	"manuscript/02-attention-catches-fire.md"	""	"legacy_number_prefix"	"manuscript/03-attention-catches-fire.md"	"resolve_by_canonical_map_now; defer_physical_rename_until_reference_migration"	"historical source, claim, and asset ledgers cite current paths"
"I-0238"	"CH04"	"manuscript/03-scaling-bet.md"	""	"legacy_number_prefix"	"manuscript/04-the-scaling-bet.md"	"resolve_by_canonical_map_now; defer_physical_rename_until_reference_migration"	"historical source, claim, and asset ledgers cite current paths"
"I-0238"	"CH09"	"manuscript/09-google-deepmind-gemini.md"	""	"short_topic_filename"	"manuscript/09-google-deepmind-wake-the-sleeping-giant.md"	"resolve_by_canonical_map_now; defer_physical_rename_until_reference_migration"	"historical source, claim, and asset ledgers cite current paths"
"I-0238"	"CH10"	"manuscript/10-meta-llama-open-weight-shock.md"	""	"minor_title_shortening"	"manuscript/10-meta-llama-and-the-open-weight-shock.md"	"resolve_by_canonical_map_now; defer_physical_rename_until_reference_migration"	"historical source, claim, and asset ledgers cite current paths"
"I-0238"	"CH11"	"manuscript/11-chinese-frontier-open-models.md"	""	"topic_extension_filename"	"manuscript/11-the-chinese-frontier.md"	"resolve_by_canonical_map_now; defer_physical_rename_until_reference_migration"	"historical source, claim, and asset ledgers cite current paths"
"I-0238"	"CH12"	"manuscript/12-europe-xai-rest-frontier.md"	"manuscript/12-anthropic-and-claude-spine-section.md"	"duplicate_chapter_number_and_supplemental_anthropic_sidecar"	"manuscript/12-europe-xai-and-the-rest-of-the-frontier.md"	"resolve_by_canonical_map_now; defer_physical_rename_until_reference_migration"	"historical source, claim, and asset ledgers cite current paths"
"I-0238"	"CH13"	"manuscript/13-model-rankings-appendix.md"	""	"appendix_label_in_main_chapter_file"	"manuscript/13-benchmarks-arenas-and-the-mirage-of-rank.md"	"resolve_by_canonical_map_now; defer_physical_rename_until_reference_migration"	"historical source, claim, and asset ledgers cite current paths"
"I-0238"	"CH14"	"manuscript/14-nvidia-cuda-moat.md"	""	"minor_title_shortening"	"manuscript/14-nvidia-and-cuda-the-moat-under-the-moat.md"	"resolve_by_canonical_map_now; defer_physical_rename_until_reference_migration"	"historical source, claim, and asset ledgers cite current paths"
"I-0238"	"CH16"	"manuscript/16-speed-to-power.md"	""	"working_title_filename"	"manuscript/16-datacenters-power-and-the-physical-internet.md"	"resolve_by_canonical_map_now; defer_physical_rename_until_reference_migration"	"historical source, claim, and asset ledgers cite current paths"
"I-0238"	"CH17"	"manuscript/17-data-tokens-library-problem.md"	""	"minor_title_shortening"	"manuscript/17-data-tokens-and-the-library-problem.md"	"resolve_by_canonical_map_now; defer_physical_rename_until_reference_migration"	"historical source, claim, and asset ledgers cite current paths"
"I-0238"	"CH18"	"manuscript/18-tools-retrieval-agent-turn.md"	""	"minor_title_shortening"	"manuscript/18-tools-retrieval-and-the-agent-turn.md"	"resolve_by_canonical_map_now; defer_physical_rename_until_reference_migration"	"historical source, claim, and asset ledgers cite current paths"
"I-0238"	"CH20"	"manuscript/20-claude-code-industrialized-pair-programming.md"	""	"minor_title_shortening"	"manuscript/20-claude-code-and-the-industrialization-of-pair-programming.md"	"resolve_by_canonical_map_now; defer_physical_rename_until_reference_migration"	"historical source, claim, and asset ledgers cite current paths"
"I-0238"	"CH21"	"manuscript/21-reasoning-test-time-compute.md"	""	"minor_title_shortening"	"manuscript/21-reasoning-test-time-compute-and-the-new-scaling-axis.md"	"resolve_by_canonical_map_now; defer_physical_rename_until_reference_migration"	"historical source, claim, and asset ledgers cite current paths"
"I-0238"	"CH22"	"manuscript/22-economics-intelligence-on-tap.md"	""	"minor_title_shortening"	"manuscript/22-the-economics-of-intelligence-on-tap.md"	"resolve_by_canonical_map_now; defer_physical_rename_until_reference_migration"	"historical source, claim, and asset ledgers cite current paths"
"I-0238"	"CH23"	"manuscript/23-failure-modes-truth-trust.md"	""	"minor_title_shortening"	"manuscript/23-failure-modes-truth-and-trust.md"	"resolve_by_canonical_map_now; defer_physical_rename_until_reference_migration"	"historical source, claim, and asset ledgers cite current paths"
