pass_id	old_no	old_title	old_position
I-0315	1	Chapter 01: The Shock	1
I-0315	2	Chapter 02: Before the Transformer	2
I-0315	3	Chapter 03: Attention Catches Fire	3
I-0315	4	Chapter 04: The Scaling Bet	4
I-0315	5	Chapter 05: GPT-1 to GPT-3: The Door Opens	5
I-0315	6	Chapter 06: Alignment Enters the Product	6
I-0315	7	Chapter 07: ChatGPT: The Interface Event	7
I-0315	8	Chapter 08: Microsoft, OpenAI, and the Cloud Bargain	8
I-0315	9	Chapter 09: Google and DeepMind Wake the Sleeping Giant	9
I-0315	10	Chapter 10: Meta, Llama, and the Open-Weight Shock	10
I-0315	11	Chapter 11: The Chinese Frontier	11
I-0315	12	Chapter 12: Anthropic, Claude, and the Plural Frontier	12
I-0315	13	Chapter 13: Benchmarks, Arenas, and the Mirage of Rank	13
I-0315	14	Chapter 14: NVIDIA and CUDA: The Moat Under the Moat	14
I-0315	15	Chapter 15: GTC 2026: The AI Factory Sells Itself	15
I-0315	16	Chapter 16: Datacenters, Power, and the Physical Internet	16
I-0315	17	Chapter 17: Data, Tokens, and the Library Problem	17
I-0315	18	Chapter 18: Tools, Retrieval, and the Agent Turn	18
I-0315	19	Chapter 19: Code as the Second Native Language	19
I-0315	20	Chapter 20: Claude Code and the Industrialization of Pair Programming	20
I-0315	21	Chapter 21: Reasoning, Test-Time Compute, and the New Scaling Axis	21
I-0315	22	Chapter 22: The Economics of Intelligence on Tap	22
I-0315	23	Chapter 23: Failure Modes, Truth, and Trust	23
I-0315	24	Chapter 24: Next Token	24
