rank	candidate_id	chapter	candidate_ref	candidate_type	title	source_basis	readiness	likely_top100	selection_reason	blocker_or_gate
001	EC-0188-001	1	A-0068	svg_diagram	opener chronology	Best current opener chronology because it pairs shock with blocked metric lanes.	ready_svg	yes	Selected in I-0182 master matrix	Render in full-book opener spread.
002	EC-0188-002	1	A-0069	svg_diagram	mechanism bridge	Keeps the chat box tied to next-token mechanics before company drama.	ready_svg	yes	Selected in I-0182 master matrix	Check mobile/print legibility.
003	EC-0188-003	1	A-0070	svg_diagram	local response texture	Shows institutional reaction without broad public-panic overclaiming.	ready_svg	yes	Selected in I-0182 master matrix	Keep only if prose placement stays tight.
004	EC-0188-004	2	A-0115	svg_diagram	pre-Transformer pressure chain	Fills the Chapter 2 mechanism gap with a constraint map.	ready_svg	yes	Selected in I-0182 master matrix	Trace final caption to paper-source rows.
005	EC-0188-005	3	A-0116	svg_diagram	self-attention mechanism	Fills the Chapter 3 architecture gap with a non-mystical attention schematic.	ready_svg	yes	Selected in I-0182 master matrix	Add exact Transformer-figure provenance before final art.
006	EC-0188-006	4	A-0117	svg_diagram	scaling evidence lanes	Fills Chapter 4 with a permissioned curve grammar rather than prophecy.	ready_svg	yes	Selected in I-0182 master matrix	Verify plotted-value exclusions in final caption.
007	EC-0188-007	5	A-0010	svg_diagram	GPT lineage anchor	Compactly connects GPT-1/GPT-2/GPT-3/API/Codex/Copilot.	ready_svg	yes	Selected in I-0182 master matrix	Check against Chapter 19 overlap.
008	EC-0188-008	6	A-0011	svg_diagram	alignment mechanism	Strongest RLHF/alignment pipeline visual already in house style.	ready_svg	yes	Selected in I-0182 master matrix	Pair with one source surface, not more diagrams.
009	EC-0188-009	6	A-0121	screenshot_slot	ChatGPT product surface	Product texture for assistant behavior becoming a public interface.	private_capture_needed	yes	Selected in I-0182 master matrix	Capture screenshot/hash; rights review.
010	EC-0188-010	6	A-0122	screenshot_slot	Plus productization surface	Shows subscription packaging without revenue or adoption inference.	private_capture_needed	yes	Selected in I-0182 master matrix	Capture screenshot/hash; strict caption.
011	EC-0188-011	7	A-0016	svg_diagram	ChatGPT business timeline	Best safe chronology for interface-to-business conversion.	ready_svg	yes	Selected in I-0182 master matrix	Retain blocked adoption lane.
012	EC-0188-012	7	A-0036	screenshot_slot	ChatGPT launch surface	High reader-recognition value for the interface event.	private_capture_needed	yes	Selected in I-0182 master matrix	Capture/hash or use archival fallback.
013	EC-0188-013	7	A-0037	screenshot_slot	ChatGPT Plus surface	Useful paid-product bridge if it does not duplicate A-0122.	private_capture_needed	yes	Selected in I-0182 master matrix	Choose one of A-0037/A-0122 in final layout.
014	EC-0188-014	7	A-0038	screenshot_slot	Enterprise surface	Enterprise controls surface for work-product chapter handoff.	private_capture_needed	yes	Selected in I-0182 master matrix	Capture/hash; block productivity and customer outcomes.
015	EC-0188-015	7	A-0039	screenshot_slot	plugins surface	Tool-use bridge from ChatGPT chapter to agent chapters.	private_capture_needed	yes	Selected in I-0182 master matrix	Capture/hash; block ecosystem adoption.
016	EC-0188-016	8	A-0056	svg_diagram	cloud bargain timeline	Best Microsoft/OpenAI capacity-distribution-governance diagram.	ready_svg	yes	Selected in I-0182 master matrix	Check if chapter can carry four diagrams.
017	EC-0188-017	8	A-0057	svg_diagram	cloud-to-product flywheel	Shows Azure/product distribution bargain without revenue claims.	ready_svg	yes	Selected in I-0182 master matrix	Prune if it duplicates A-0056 in layout.
018	EC-0188-018	8	A-0058	svg_diagram	inference cost stack	Explains hidden cost behind work surfaces.	ready_svg	yes	Selected in I-0182 master matrix	Keep for economics handoff.
019	EC-0188-019	8	A-0059	svg_diagram	enterprise blocker map	Keeps enterprise claims honest.	ready_svg	yes	Selected in I-0182 master matrix	May become appendix/sidebar if chapter feels over-diagrammed.
020	EC-0188-020	9	A-0086	svg_diagram	Google conversion timeline	Best Google/DeepMind conversion-pressure anchor.	ready_svg	yes	Selected in I-0182 master matrix	Keep benchmark/adoption blockers visible.
021	EC-0188-021	9	A-0087	svg_diagram	Gemini surface conversion	Explains Google distribution pressure without caricature.	ready_svg	yes	Selected in I-0182 master matrix	Check overlap with A-0086.
022	EC-0188-022	9	A-0088	svg_diagram	long-context product grammar	Adds technical/product distinction for Gemini long context.	ready_svg	yes	Selected in I-0182 master matrix	Verify exact source rows before final caption.
023	EC-0188-023	9	A-0089	svg_diagram	Gemini claim blockers	Keeps search, adoption, and benchmark inferences separate.	ready_svg	yes	Selected in I-0182 master matrix	Use if prose makes tempting claims nearby.
024	EC-0188-024	9	A-0129	screenshot_slot	Gemini/Bard source surface	Product texture that diagrams cannot provide.	private_capture_needed	yes	Selected in I-0182 master matrix	Capture/hash; block Search-share and productivity claims.
025	EC-0188-025	10	A-0030	svg_diagram	Llama family map	Core Chapter 10 open-weight chronology visual.	ready_svg	yes	Selected in I-0182 master matrix	Check current license-state caveats.
026	EC-0188-026	10	A-0112	svg_diagram	open-weight control stack	Separates weights, license, hosting, safety, and ecosystem burdens.	ready_svg	yes	Selected in I-0182 master matrix	Prioritize over duplicate Llama screenshots.
027	EC-0188-027	10	A-0113	svg_diagram	adopter burden transfer	Explains why openness moves responsibility outward.	ready_svg	yes	Selected in I-0182 master matrix	Use with Chapter 10 prose, not as generic open-source claim.
028	EC-0188-028	10	A-0044	screenshot_slot	LLaMA launch surface	Primary-source product/release texture for the open-weight shock.	private_capture_needed	yes	Selected in I-0182 master matrix	Capture/hash; block adoption.
029	EC-0188-029	10	A-0047	screenshot_slot	Llama repository surface	Developer-artifact texture beyond press pages.	private_capture_needed	yes	Selected in I-0182 master matrix	Capture/hash; mutable repo numbers blocked.
