row_id	snapshot_id	source_id	category_filter	visible_order	model	cutoff_status	chart_readiness	methodology_caveat
LMA-0001	SNAP-20260524-001	S-0056	text_overall_visible_order	1	claude-opus-4-6-thinking	post_cutoff_or_cutoff_inconsistent_model_name	exclude_from_cutoff_rank_chart	Captured HTML contains model names that appear beyond the 2026-05-24 cutoff; visible order is useful for audit/filtering but not final rank truth.
LMA-0002	SNAP-20260524-001	S-0056	text_overall_visible_order	2	claude-opus-4-7-thinking	post_cutoff_or_cutoff_inconsistent_model_name	exclude_from_cutoff_rank_chart	Captured HTML contains model names that appear beyond the 2026-05-24 cutoff; visible order is useful for audit/filtering but not final rank truth.
LMA-0003	SNAP-20260524-001	S-0056	text_overall_visible_order	3	claude-opus-4-6	post_cutoff_or_cutoff_inconsistent_model_name	exclude_from_cutoff_rank_chart	Captured HTML contains model names that appear beyond the 2026-05-24 cutoff; visible order is useful for audit/filtering but not final rank truth.
LMA-0004	SNAP-20260524-001	S-0056	text_overall_visible_order	4	claude-opus-4-7	post_cutoff_or_cutoff_inconsistent_model_name	exclude_from_cutoff_rank_chart	Captured HTML contains model names that appear beyond the 2026-05-24 cutoff; visible order is useful for audit/filtering but not final rank truth.
LMA-0005	SNAP-20260524-001	S-0056	text_overall_visible_order	5	muse-spark	cutoff_status_unclear	exclude_until_cutoff_status_resolved	Model name lacks a date in the visible title stream; do not chart until release/cutoff status and category are verified.
LMA-0006	SNAP-20260524-001	S-0056	text_overall_visible_order	6	gemini-3.1-pro-preview	post_cutoff_or_cutoff_inconsistent_model_name	exclude_from_cutoff_rank_chart	Captured HTML contains model names that appear beyond the 2026-05-24 cutoff; visible order is useful for audit/filtering but not final rank truth.
LMA-0007	SNAP-20260524-001	S-0056	text_overall_visible_order	7	gemini-3-pro	post_cutoff_or_cutoff_inconsistent_model_name	exclude_from_cutoff_rank_chart	Captured HTML contains model names that appear beyond the 2026-05-24 cutoff; visible order is useful for audit/filtering but not final rank truth.
LMA-0008	SNAP-20260524-001	S-0056	text_overall_visible_order	8	gpt-5.5-high	post_cutoff_or_cutoff_inconsistent_model_name	exclude_from_cutoff_rank_chart	Captured HTML contains model names that appear beyond the 2026-05-24 cutoff; visible order is useful for audit/filtering but not final rank truth.
LMA-0009	SNAP-20260524-001	S-0056	text_overall_visible_order	9	gemini-3.5-flash	post_cutoff_or_cutoff_inconsistent_model_name	exclude_from_cutoff_rank_chart	Captured HTML contains model names that appear beyond the 2026-05-24 cutoff; visible order is useful for audit/filtering but not final rank truth.
LMA-0010	SNAP-20260524-001	S-0056	text_overall_visible_order	10	gpt-5.4-high	post_cutoff_or_cutoff_inconsistent_model_name	exclude_from_cutoff_rank_chart	Captured HTML contains model names that appear beyond the 2026-05-24 cutoff; visible order is useful for audit/filtering but not final rank truth.
LMA-0011	SNAP-20260524-001	S-0056	text_overall_visible_order	51	gemini-2.5-pro	model_name_pre_cutoff_but_snapshot_stream_polluted	candidate_only_requires_clean_cutoff_snapshot	The model name is cutoff-plausible, but this same captured title stream contains post-cutoff rows, so exact rank cannot be promoted from this artifact alone.
LMA-0012	SNAP-20260524-001	S-0056	text_overall_visible_order	57	o3-2025-04-16	model_name_pre_cutoff_but_snapshot_stream_polluted	candidate_only_requires_clean_cutoff_snapshot	The model name is cutoff-plausible, but this same captured title stream contains post-cutoff rows, so exact rank cannot be promoted from this artifact alone.
LMA-0013	SNAP-20260524-001	S-0056	text_overall_visible_order	58	gpt-5-chat	post_cutoff_or_cutoff_inconsistent_model_name	exclude_from_cutoff_rank_chart	Model name indicates post-cutoff family; record as exclusion evidence only.
LMA-0014	SNAP-20260524-001	S-0056	text_overall_visible_order	71	deepseek-r1-0528	post_cutoff_or_cutoff_inconsistent_model_name	exclude_from_cutoff_rank_chart	Model title date is after the 2026-05-24 cutoff; record as exclusion evidence only.
LMA-0015	SNAP-20260524-001	S-0056	text_overall_visible_order	87	claude-opus-4-20250514	model_name_pre_cutoff_but_snapshot_stream_polluted	candidate_only_requires_clean_cutoff_snapshot	The model name is cutoff-plausible, but this same captured title stream contains post-cutoff rows, so exact rank cannot be promoted from this artifact alone.
